filename, freshripe, freshunripe, overripe, ripe, rotten, unripe
musa-acuminata-unripe-62e1b307-2653-11ec-8d1b-d8c4975e38aa---Copy_jpg.rf.001c9defaea455a57696b9093fb0a0c1.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-banana-b222b3b5-394a-11ec-b2c6-d8c4975e38aa_jpg.rf.0009e6555a423efbbcf3bd3518976680.jpg, 0, 0, 0, 1, 0, 0
musa-acuminata-ripe-6b393ea7-2653-11ec-b7dd-d8c4975e38aa_jpg.rf.001285a24f0c2def5dadda087fe4f79a.jpg, 0, 0, 0, 1, 0, 0
musa-acuminata-freshripe-7daac744-1d0a-11ec-a4b3-d8c4975e38aa_jpg.rf.0008cc3b7c5949244822dbd7244f50fd.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-freshripe-7b79134a-1d0a-11ec-af23-d8c4975e38aa_jpg.rf.00361fb15a6f36b93e670b3b80bc03ca.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-freshripe-78b9ece8-1d0a-11ec-baed-d8c4975e38aa_jpg.rf.00312aab6ecd58470f1676fde460cba7.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-freshunripe-6df5a828-1d0a-11ec-b5b7-d8c4975e38aa_jpg.rf.0032049601abcef03134851126b50b3a.jpg, 0, 1, 0, 0, 0, 0
musa-acuminata-banana-a95d7f28-4037-11ec-9427-94b86d66fd1d_jpg.rf.001825e6056ef558ae23ef97d1cf9acc.jpg, 1, 0, 0, 0, 0, 0
musa-acuminata-unripe-5c241b6c-2653-11ec-8660-d8c4975e38aa---Copy_jpg.rf.002f6e96c3c8cccb7b8313a036942155.jpg, 0, 0, 0, 0, 1, 1
musa-acuminata-banana-8bfed94d-394a-11ec-bc46-d8c4975e38aa_jpg.rf.003c84e27b02334ff243fd15e7d5fd88.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-rotten-a2457610-1d0a-11ec-88d7-d8c4975e38aa_jpg.rf.000416b9c515bd8a90d3f16f5f72fa47.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-rotten-8a2889ac-2653-11ec-a352-d8c4975e38aa_jpg.rf.005cd7543987d1267d938ceb55212026.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-ripe-725d53f2-2653-11ec-b771-d8c4975e38aa_jpg.rf.0064f5f7abcd2bad6da5621e71c01031.jpg, 0, 0, 0, 1, 1, 0
musa-acuminata-unripe-8e32cca0-1d0a-11ec-bf67-d8c4975e38aa-1-_jpg.rf.00780bcf13e0e80717ccfc3d96712765.jpg, 0, 1, 0, 0, 0, 0
musa-acuminata-ripe-98709319-1d0a-11ec-96f0-d8c4975e38aa_jpg.rf.00740177f51885792339012d36e0a219.jpg, 0, 0, 0, 1, 1, 0
musa-acuminata-rotten-8f73b14d-2653-11ec-afbf-d8c4975e38aa_jpg.rf.004c056a9c9650366e719639ca42f76e.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-ripe-730db352-2653-11ec-9be8-d8c4975e38aa_jpg.rf.0040407efe81d5cf846de87766c811c9.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-ripe-95ce0e68-1d0a-11ec-8bc4-d8c4975e38aa_jpg.rf.007794e3300c16429527530aa85af47a.jpg, 0, 0, 0, 1, 1, 0
musa-acuminata-rotten-ab2c670a-1d0a-11ec-92ec-d8c4975e38aa_jpg.rf.006de1e9d3335c0779f49bd0d6c52c14.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-banana-b693f063-394a-11ec-9889-d8c4975e38aa_jpg.rf.004b3b932590d8dac2374c8f6b4cb5c4.jpg, 1, 0, 0, 1, 1, 0
musa-acuminata-banana-9f9e7870-394a-11ec-9793-d8c4975e38aa_jpg.rf.0036374fbc363f69fcc79f638e1dfd6d.jpg, 0, 0, 0, 0, 1, 0
musa-acuminata-overripe-80edce38-2653-11ec-b826-d8c4975e38aa_jpg.rf.006d267e84369a02ba56ca4db1fa8bdf.jpg, 0, 0, 1, 0, 0, 0
musa-acuminata-banana-aa863329-394a-11ec-8300-d8c4975e38aa_jpg.rf.007bb7b825f353fc523dc6b59ece22c2.jpg, 0, 0, 1, 0, 1, 0
musa-acuminata-freshunripe-6d348b6e-1d0a-11ec-b361-d8c4975e38aa_jpg.rf.00972cc5b2298bdd8212221831ffeeb0.jpg, 0, 1, 0, 0, 0, 0
